filename,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39
A_Close (10).wav,0.05882126837968826,1805.5957172842425,1394.8775256303725,3204.5712890625,0.1469140625,-467.0279541015625,100.77511596679688,37.14974594116211,15.295260429382324,-10.017985343933105,-5.743658065795898,-20.986268997192383,-17.89994239807129,-21.099098205566406,-17.45152473449707,-12.023411750793457,-13.963273048400879,-7.882925510406494,-13.374565124511719,-9.213268280029297,-4.493366241455078,-4.033276557922363,-9.648770332336426,-8.432921409606934,-5.211763381958008,-5.5047430992126465,-2.766338586807251,-7.069920063018799,-3.1744544506073,-1.2344660758972168,-4.050220489501953,-4.496412754058838,-0.7011280059814453,-1.278138518333435,-5.584934234619141,-0.2878570258617401,-0.050414130091667175,-2.7799384593963623,-2.663698673248291,-1.4426754713058472,-1.5009827613830566,-2.1105871200561523,-0.7218917608261108,-0.06358729302883148
A_Close (11).wav,0.006825759541243315,2079.375780513574,1743.7567294691007,3889.9098115808824,0.15238204656862744,-552.9339599609375,77.8180923461914,-5.161699295043945,18.8533992767334,-9.427824020385742,3.0326945781707764,-28.040294647216797,-13.085633277893066,-15.0913667678833,-16.546669006347656,-11.22356128692627,-15.5370512008667,-3.0114190578460693,-14.751594543457031,-8.211669921875,-5.368146896362305,-6.96028470993042,-13.46385383605957,-9.394384384155273,-3.2764246463775635,-7.76510763168335,-0.5973565578460693,-4.175864219665527,-2.258164167404175,2.4453372955322266,-0.08595693111419678,-2.648031234741211,-0.5514978766441345,-2.2580506801605225,-2.6097960472106934,0.3175126314163208,-1.5300687551498413,-1.1706156730651855,-2.31160306930542,0.06771910935640335,0.5560520887374878,0.38329362869262695,-0.6171008944511414,0.555598258972168
A_Close (2).wav,0.055535998195409775,1596.436436610475,1381.9887835384739,2900.091796875,0.11619140625,-461.4859619140625,105.4725570678711,35.2103157043457,12.432101249694824,-10.50280475616455,-3.7771482467651367,-16.869060516357422,-19.527196884155273,-23.13546371459961,-16.196020126342773,-10.853711128234863,-13.663814544677734,-6.285391807556152,-12.182592391967773,-9.733421325683594,-5.8700175285339355,-5.283253192901611,-9.140929222106934,-10.2700777053833,-5.129530429840088,-4.220193386077881,-2.7504684925079346,-6.564470291137695,-4.728090286254883,-1.1655361652374268,-3.6187338829040527,-4.44865083694458,-0.5937396883964539,-0.9200232028961182,-4.771422863006592,-1.7964072227478027,-0.5007151961326599,-2.0837862491607666,-2.9616539478302,-1.6409540176391602,-0.2127954512834549,-0.10633118450641632,-0.24489974975585938,-1.131615400314331
A_Close (3).wav,0.08030024915933609,1499.3981647260298,1351.4772998411656,2751.7166940789475,0.10093287417763158,-396.5457763671875,112.2076187133789,19.830810546875,16.037813186645508,7.964674949645996,-10.264155387878418,-43.047019958496094,-22.515539169311523,-10.787199974060059,-15.180270195007324,-16.113277435302734,-15.964454650878906,-9.616235733032227,-11.723411560058594,-4.548776626586914,-4.221739292144775,-9.934893608093262,-14.104172706604004,-6.29445743560791,-4.684797763824463,-11.231053352355957,-5.831137180328369,-4.030170917510986,-2.460021495819092,-4.214199066162109,-4.130951881408691,-0.2352503538131714,-0.5110841393470764,-3.7250778675079346,-3.74196457862854,-0.275415301322937,-0.4717561900615692,-2.478757619857788,-2.018916368484497,0.004480123519897461,-1.839180827140808,-2.241142988204956,-1.3683178424835205,0.24891218543052673
A_Close (4).wav,0.008099986240267754,1961.2932109900612,1697.625647428106,3579.0576171875,0.13196614583333333,-544.6660766601562,90.3318862915039,5.548388957977295,18.905729293823242,-16.3501033782959,5.951127052307129,-21.28390884399414,-15.389092445373535,-22.598831176757812,-16.00026512145996,-9.144679069519043,-15.75989055633545,-3.794111490249634,-18.21156120300293,-8.010515213012695,-3.992255926132202,-3.126476764678955,-10.37609577178955,-11.570752143859863,-3.1400234699249268,-5.101256847381592,-2.938131332397461,-8.79529857635498,-2.3531408309936523,-0.5515611171722412,-1.8110015392303467,-2.030858039855957,0.05110669508576393,0.6275455355644226,-3.6187329292297363,0.3660053610801697,0.5153486728668213,0.2553045153617859,-2.9896771907806396,-0.45378053188323975,0.8988429307937622,-0.1880953013896942,0.4642409384250641,-1.2479634284973145
A_Close (5).wav,0.044196438044309616,1792.7560122209695,1474.1362582592549,3146.5965757978724,0.14014710771276595,-481.6111755371094,94.00594329833984,32.28155517578125,20.08372688293457,-6.233549118041992,-2.29984974861145,-21.583974838256836,-18.452634811401367,-22.386259078979492,-12.989124298095703,-6.914909362792969,-14.10658073425293,-6.669432163238525,-14.901708602905273,-7.597909927368164,-3.4286868572235107,-5.4293694496154785,-8.416298866271973,-8.182286262512207,-2.323714017868042,-4.3930888175964355,-3.1771740913391113,-6.009397029876709,-3.578186273574829,0.14783543348312378,-3.190897226333618,-4.325226306915283,-1.4055677652359009,-1.7958405017852783,-3.7719199657440186,-1.1324939727783203,-0.6079492568969727,-2.074800968170166,-2.915762186050415,-0.9017269015312195,-0.2230112999677658,-1.0517582893371582,-0.7295123934745789,-0.2732788920402527
A_Close (6).wav,0.04779926687479019,1801.3185740013673,1467.3200090354972,3249.755859375,0.13995735012755103,-473.99554443359375,95.11135864257812,32.48203659057617,20.123611450195312,-11.810633659362793,-1.556527853012085,-21.370187759399414,-18.297964096069336,-20.956710815429688,-15.637198448181152,-11.432035446166992,-15.061701774597168,-5.332574367523193,-13.653364181518555,-8.561532020568848,-6.278139591217041,-4.059548854827881,-8.647747993469238,-10.252029418945312,-3.3685128688812256,-3.829393148422241,-1.9184515476226807,-8.452898025512695,-4.852363586425781,-1.0106276273727417,-2.947901487350464,-3.3724772930145264,-1.5494872331619263,-0.5107355117797852,-4.646124839782715,-1.8638575077056885,-1.3297245502471924,-2.2969884872436523,-2.773054838180542,-1.893912672996521,-0.7574605941772461,-1.3136367797851562,0.3939783573150635,-0.714745819568634
A_Close (7).wav,0.007878957316279411,2160.86808007197,1818.6068497524689,4099.628240411932,0.16423265861742425,-575.9459228515625,68.06364440917969,1.4234291315078735,14.288534164428711,-11.67723560333252,5.608892917633057,-16.329784393310547,-11.204670906066895,-15.188149452209473,-16.917858123779297,-8.744752883911133,-12.825417518615723,-6.403360843658447,-10.851017951965332,-9.009574890136719,-6.285144805908203,-0.9019355773925781,-10.075087547302246,-7.428504943847656,-3.399472713470459,-7.323769569396973,-0.20294858515262604,-6.209136009216309,-2.7789199352264404,-1.2553539276123047,-3.9207098484039307,-0.699957549571991,2.218750238418579,0.5790584683418274,-1.5099836587905884,0.9952223896980286,0.6263744235038757,0.7389068603515625,-2.082378387451172,-0.1392562985420227,-0.0884459987282753,-1.3709313869476318,-1.7114887237548828,-2.2657155990600586
A_Close (8).wav,0.06345783174037933,1615.790276233757,1360.688048539997,2896.8887329101562,0.12305704752604167,-448.9493713378906,105.82733917236328,30.85088539123535,12.768521308898926,-7.0713419914245605,0.25540003180503845,-15.117328643798828,-20.429250717163086,-27.56064796447754,-18.990201950073242,-8.24110221862793,-13.221163749694824,-9.075719833374023,-12.651557922363281,-11.575706481933594,-4.787861347198486,-1.7678089141845703,-9.978610038757324,-9.61998462677002,-5.1523003578186035,-5.433847427368164,-1.637076497077942,-6.416910648345947,-6.594384670257568,-1.4744266271591187,-3.0429775714874268,-4.614531993865967,-1.4245834350585938,-2.88193416595459,-4.015338897705078,-1.2700170278549194,-0.2744119465351105,-1.1417773962020874,-2.4927456378936768,-1.0297387838363647,-2.510650873184204,-1.2371317148208618,-0.5434975624084473,-1.4790691137313843
A_Close (9).wav,0.0990435928106308,1630.0404305461677,1190.0546916627306,2629.0822155070755,0.11957362912735849,-390.2063293457031,108.67462158203125,32.54752731323242,9.130378723144531,-2.939798355102539,-10.602560043334961,-31.867633819580078,-17.56728744506836,-13.489123344421387,-16.94285774230957,-17.694921493530273,-14.99179744720459,-9.776700973510742,-10.670098304748535,-5.8180365562438965,-7.224923133850098,-7.657942295074463,-12.801114082336426,-6.981656551361084,-4.174187183380127,-8.944066047668457,-5.398107528686523,-5.114047527313232,-2.4805874824523926,-3.396463394165039,-3.2623817920684814,-3.350611925125122,-2.1883623600006104,-2.093834638595581,-3.9285566806793213,-0.8974986672401428,-1.291141152381897,-2.59724760055542,-2.356351613998413,-0.932673454284668,-0.5370656847953796,-0.8971477150917053,-1.2164331674575806,-0.3337514400482178
